,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
28,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Normal,Master,Medical,Low,Female,Low,Medium,3,Healthcare Representative,Medium,Married,Very High,Low,3,No,Average,Excellent,Very High,1,Over 15 years,4,Better,Over 9 years,4 to 7 years,Over 3 years,Over 7 years
29,Middle-Age,No,Travel_Rarely,Very High,Sales,Short,Master,Marketing,Medium,Female,High,High,5,Manager,High,Single,Very High,Very High,3,No,Low,Excellent,Very High,0,Over 15 years,2,Good,<= 3 years,<= 2 years,2 to 3 years,<= 2 years
30,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Short,Bachelor,Medical,High,Male,High,High,1,Laboratory Technician,High,Single,Low,Low,4,No,Low,Excellent,Very High,0,7 to 10 years,3,Better,<= 3 years,<= 2 years,None,<= 2 years
31,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Long,Master,Other,Very High,Male,Low,High,2,Healthcare Representative,High,Married,High,High,2,Yes,Average,Excellent,Very High,0,7 to 10 years,5,Best,4 to 5 years,<= 2 years,1 year,3 years
32,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Long,College,Medical,Very High,Male,High,Medium,1,Laboratory Technician,Medium,Single,Low,High,1,No,Average,Excellent,Low,0,7 to 10 years,5,Better,Over 9 years,<= 2 years,1 year,Over 7 years
33,Middle-Age,Yes,Travel_Rarely,Very High,Sales,Normal,Bachelor,Technical Degree,Very High,Male,Average,High,2,Sales Representative,High,Married,Low,Low,3,No,Average,Excellent,High,1,Over 15 years,6,Best,<= 3 years,<= 2 years,None,<= 2 years
34,Young,Yes,Travel_Rarely,Very High,Research & Development,Short,Bachelor,Medical,Medium,Male,Average,High,1,Research Scientist,High,Married,Low,Low,2,Yes,High,Excellent,Low,1,<= 6 years,2,Good,<= 3 years,<= 2 years,2 to 3 years,<= 2 years
35,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Short,College,Medical,Very High,Female,High,Very High,1,Research Scientist,Very High,Divorced,Low,Very High,1,No,Low,Excellent,Very High,2,<= 6 years,3,Good,4 to 5 years,3 years,1 year,Over 7 years
36,Middle-Age,Yes,Travel_Rarely,Very High,Sales,Normal,College,Marketing,Low,Male,Very High,Medium,1,Sales Representative,Medium,Married,Low,Low,1,Yes,Average,Excellent,High,0,<= 6 years,2,Better,<= 3 years,<= 2 years,None,<= 2 years
37,Middle-Age,No,Travel_Rarely,Very High,Sales,Short,Bachelor,Marketing,Very High,Female,Very High,High,1,Sales Representative,High,Married,Low,Average,1,No,Average,Excellent,Low,0,<= 6 years,3,Better,<= 3 years,<= 2 years,2 to 3 years,<= 2 years
38,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Normal,Master,Life Sciences,Medium,Female,High,Medium,1,Research Scientist,Medium,Married,Average,Average,9,Yes,Average,Excellent,Very High,1,<= 6 years,3,Best,<= 3 years,<= 2 years,None,<= 2 years
39,Middle-Age,No,Travel_Frequently,Very High,Sales,Short,Bachelor,Life Sciences,High,Female,Low,Very High,2,Sales Executive,Very High,Married,High,Low,2,No,Very High,Excellent,Low,2,7 to 10 years,3,Better,4 to 5 years,3 years,1 year,3 years
40,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Normal,College,Other,High,Male,High,High,1,Laboratory Technician,High,Divorced,Low,Average,1,No,Low,Excellent,High,1,<= 6 years,3,Better,<= 3 years,<= 2 years,None,<= 2 years
41,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Short,Master,Life Sciences,Very High,Female,Low,High,1,Laboratory Technician,High,Divorced,Low,High,1,No,Average,Excellent,Very High,1,<= 6 years,6,Better,<= 3 years,<= 2 years,None,<= 2 years
42,Middle-Age,Yes,Travel_Rarely,Very High,Research & Development,Very Long,Bachelor,Life Sciences,Low,Male,Low,Low,1,Laboratory Technician,Low,Single,Low,Average,1,No,Low,Excellent,High,0,<= 6 years,2,Good,<= 3 years,<= 2 years,None,<= 2 years
43,Middle-Age,No,Travel_Frequently,Very High,Sales,Long,Bachelor,Life Sciences,Very High,Male,Low,High,3,Sales Executive,High,Single,Very High,Low,1,No,High,Excellent,Very High,0,7 to 10 years,0,Better,6 to 9 years,Over 7 years,1 year,4 to 7 years
44,Middle-Age,No,Travel_Frequently,Very High,Research & Development,Short,College,Medical,High,Female,Average,High,2,Laboratory Technician,High,Single,Average,Average,1,No,Very High,Outstanding,Very High,0,11 to 15 years,2,Better,Over 9 years,Over 7 years,2 to 3 years,4 to 7 years
45,Middle-Age,Yes,Travel_Rarely,Very High,Research & Development,Long,Bachelor,Technical Degree,Medium,Female,Average,High,5,Research Director,High,Married,Very High,High,1,No,Low,Excellent,Very High,0,Over 15 years,0,Better,Over 9 years,Over 7 years,Over 3 years,Over 7 years
46,Middle-Age,No,Non-Travel,Very High,Sales,Very Long,Master,Marketing,Medium,Male,High,High,2,Sales Executive,High,Single,Average,Average,0,No,Very High,Outstanding,High,0,7 to 10 years,2,Better,6 to 9 years,4 to 7 years,Over 3 years,4 to 7 years
47,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Very Long,College,Life Sciences,Medium,Male,High,High,1,Research Scientist,High,Married,Average,Average,4,No,Very High,Outstanding,Low,0,7 to 10 years,1,Better,<= 3 years,<= 2 years,None,<= 2 years
48,Middle-Age,No,Travel_Frequently,Very High,Sales,Normal,Master,Marketing,Low,Male,Very High,High,2,Sales Executive,High,Single,High,High,4,Yes,Very High,Outstanding,High,0,11 to 15 years,4,Better,6 to 9 years,4 to 7 years,None,Over 7 years
49,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Long,Below College,Life Sciences,Very High,Male,Low,Very High,1,Laboratory Technician,Very High,Married,Low,Low,1,No,Very High,Excellent,Very High,0,<= 6 years,2,Better,<= 3 years,<= 2 years,None,<= 2 years
50,Middle-Age,Yes,Travel_Rarely,Very High,Research & Development,Short,College,Life Sciences,Low,Male,Very High,Medium,3,Laboratory Technician,Medium,Single,High,High,9,Yes,Average,Excellent,Very High,0,Over 15 years,2,Better,<= 3 years,<= 2 years,None,<= 2 years
51,Middle-Age,Yes,Travel_Rarely,Very High,Research & Development,Normal,Master,Technical Degree,High,Male,Average,High,1,Laboratory Technician,High,Single,Average,Average,1,Yes,Average,Excellent,High,0,<= 6 years,3,Good,<= 3 years,<= 2 years,2 to 3 years,<= 2 years
52,Middle-Age,No,Travel_Rarely,Very High,Sales,Short,Doctor,Marketing,Medium,Female,High,High,2,Sales Executive,High,Divorced,High,Low,5,Yes,Very High,Outstanding,High,1,7 to 10 years,2,Good,4 to 5 years,3 years,1 year,3 years
53,Middle-Age,No,Non-Travel,Very High,Research & Development,Long,College,Medical,High,Male,High,Medium,3,Healthcare Representative,Medium,Married,Very High,Average,2,Yes,Average,Excellent,High,1,7 to 10 years,3,Better,4 to 5 years,<= 2 years,2 to 3 years,3 years
54,Middle-Age,No,Travel_Rarely,Very High,Sales,Very Long,Bachelor,Marketing,High,Female,Low,Medium,2,Sales Executive,Medium,Married,Average,Very High,7,Yes,Very High,Excellent,High,1,<= 6 years,2,Good,<= 3 years,<= 2 years,None,<= 2 years
55,Middle-Age,No,Travel_Frequently,Very High,Research & Development,Short,College,Life Sciences,Low,Female,Very High,High,3,Research Director,High,Single,Very High,High,1,Yes,Low,Excellent,High,0,11 to 15 years,1,Better,Over 9 years,Over 7 years,Over 3 years,Over 7 years
56,Middle-Age,No,Travel_Frequently,Very High,Sales,Very Long,Doctor,Life Sciences,Medium,Male,High,High,3,Sales Executive,High,Married,Very High,Average,1,No,Very High,Outstanding,Very High,1,7 to 10 years,3,Good,6 to 9 years,Over 7 years,1 year,Over 7 years
57,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Very Long,Master,Medical,High,Female,Low,High,1,Laboratory Technician,High,Married,Average,High,3,Yes,High,Excellent,High,1,<= 6 years,3,Better,<= 3 years,<= 2 years,2 to 3 years,<= 2 years
58,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Normal,Master,Life Sciences,Very High,Male,Low,High,2,Laboratory Technician,High,Divorced,High,Average,3,No,Very High,Outstanding,Very High,1,7 to 10 years,3,Good,6 to 9 years,4 to 7 years,1 year,4 to 7 years
59,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Short,Master,Life Sciences,Low,Male,Average,Medium,2,Manufacturing Director,Medium,Divorced,High,Low,1,No,High,Excellent,High,1,7 to 10 years,2,Best,6 to 9 years,4 to 7 years,None,4 to 7 years
60,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Short,Bachelor,Medical,Low,Male,Low,High,2,Manufacturing Director,High,Married,High,Average,1,Yes,Very High,Outstanding,Medium,1,7 to 10 years,3,Better,6 to 9 years,Over 7 years,Over 3 years,Over 7 years
61,Middle-Age,No,Travel_Frequently,Very High,Research & Development,Very Long,Doctor,Life Sciences,Very High,Female,Average,High,2,Laboratory Technician,High,Single,Low,Low,1,No,Low,Excellent,Very High,0,7 to 10 years,2,Better,Over 9 years,3 years,Over 3 years,Over 7 years
62,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Normal,College,Medical,Medium,Female,Low,Medium,5,Research Director,Medium,Divorced,Very High,High,5,Yes,Low,Excellent,Very High,1,Over 15 years,2,Good,Over 9 years,3 years,Over 3 years,Over 7 years
63,Old,No,Travel_Rarely,Very High,Sales,Very Long,Bachelor,Life Sciences,Low,Female,Very High,High,3,Sales Executive,High,Single,High,Low,7,No,Low,Excellent,Very High,0,Over 15 years,3,Good,Over 9 years,Over 7 years,Over 3 years,Over 7 years
64,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Long,Bachelor,Technical Degree,High,Female,Average,High,3,Healthcare Representative,High,Divorced,Very High,Average,1,No,Average,Excellent,Medium,3,Over 15 years,2,Better,Over 9 years,Over 7 years,Over 3 years,Over 7 years
65,Old,No,Travel_Rarely,Very High,Research & Development,Long,Bachelor,Medical,Very High,Female,Low,High,4,Manager,High,Divorced,Very High,High,2,Yes,Average,Excellent,High,3,Over 15 years,2,Better,4 to 5 years,<= 2 years,None,<= 2 years
66,Middle-Age,No,Travel_Frequently,Very High,Research & Development,Long,Bachelor,Life Sciences,Medium,Male,Very High,Medium,2,Manufacturing Director,Medium,Single,High,Very High,1,No,Average,Excellent,High,0,<= 6 years,3,Better,6 to 9 years,4 to 7 years,None,3 years
67,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Normal,Bachelor,Life Sciences,Medium,Male,Average,High,3,Research Scientist,High,Divorced,Very High,High,2,No,High,Excellent,High,1,Over 15 years,2,Better,<= 3 years,<= 2 years,None,<= 2 years
68,Middle-Age,No,Travel_Frequently,Very High,Research & Development,Short,Bachelor,Medical,Medium,Male,High,High,1,Research Scientist,High,Married,Low,Low,4,No,Average,Excellent,Very High,1,<= 6 years,2,Good,<= 3 years,<= 2 years,1 year,<= 2 years
69,Middle-Age,Yes,Travel_Rarely,Very High,Research & Development,Long,Bachelor,Medical,Very High,Male,High,Medium,1,Research Scientist,Medium,Married,Average,Very High,0,Yes,High,Excellent,Low,1,<= 6 years,0,Good,<= 3 years,<= 2 years,None,<= 2 years
70,Old,No,Travel_Frequently,Very High,Sales,Short,Below College,Life Sciences,Low,Female,Average,Medium,2,Sales Executive,Medium,Single,High,Very High,7,No,Low,Excellent,Very High,0,Over 15 years,2,Good,4 to 5 years,3 years,1 year,3 years
71,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Short,Bachelor,Life Sciences,High,Male,High,High,1,Research Scientist,High,Married,Low,Low,0,No,Very High,Outstanding,Very High,1,<= 6 years,3,Better,4 to 5 years,4 to 7 years,None,Over 7 years
72,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Short,Master,Medical,High,Male,Very High,High,1,Research Scientist,High,Single,Low,High,1,No,High,Excellent,Medium,0,<= 6 years,4,Better,<= 3 years,<= 2 years,1 year,<= 2 years
73,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Short,Bachelor,Life Sciences,Medium,Male,Average,High,2,Research Scientist,High,Married,High,Low,1,No,High,Excellent,Medium,2,7 to 10 years,3,Better,Over 9 years,4 to 7 years,None,Over 7 years
74,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Normal,Bachelor,Life Sciences,Medium,Female,Average,Very High,1,Laboratory Technician,Very High,Married,Average,Very High,3,No,Low,Excellent,Medium,0,<= 6 years,3,Better,<= 3 years,<= 2 years,None,<= 2 years
75,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Long,Master,Life Sciences,High,Female,Average,High,2,Manufacturing Director,High,Single,Average,Very High,1,No,Very High,Outstanding,Very High,0,11 to 15 years,2,Better,Over 9 years,4 to 7 years,1 year,Over 7 years
76,Middle-Age,No,Travel_Rarely,Very High,Sales,Short,Master,Marketing,High,Male,Low,Medium,2,Sales Executive,Medium,Single,Average,Very High,0,No,Average,Excellent,Medium,0,Over 15 years,2,Better,Over 9 years,Over 7 years,2 to 3 years,Over 7 years
77,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Normal,Master,Other,Very High,Male,Average,High,3,Research Director,High,Married,Very High,High,4,Yes,Average,Excellent,Medium,0,Over 15 years,3,Best,<= 3 years,<= 2 years,None,<= 2 years
78,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Normal,Master,Medical,Low,Male,Low,High,3,Research Director,High,Single,Very High,Very High,4,No,Average,Excellent,Low,0,Over 15 years,3,Best,4 to 5 years,<= 2 years,None,<= 2 years
79,Middle-Age,No,Travel_Rarely,Very High,Human Resources,Normal,College,Medical,Medium,Male,High,High,2,Human Resources,High,Divorced,High,Average,8,Yes,Very High,Outstanding,Very High,1,Over 15 years,2,Better,4 to 5 years,<= 2 years,None,<= 2 years
80,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Short,Below College,Life Sciences,Very High,Male,Average,Medium,2,Laboratory Technician,Medium,Married,High,High,1,Yes,Low,Excellent,High,2,7 to 10 years,1,Good,Over 9 years,Over 7 years,2 to 3 years,<= 2 years
81,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Short,Bachelor,Medical,Medium,Male,Low,Medium,1,Research Scientist,Medium,Single,Low,Very High,1,No,High,Excellent,Low,0,<= 6 years,3,Better,6 to 9 years,4 to 7 years,None,Over 7 years
82,Old,No,Travel_Rarely,Very High,Sales,Short,College,Life Sciences,Low,Male,High,High,3,Sales Executive,High,Married,Very High,High,3,No,Average,Excellent,Very High,1,Over 15 years,4,Better,<= 3 years,<= 2 years,1 year,<= 2 years
83,Middle-Age,No,Non-Travel,Very High,Research & Development,Normal,Bachelor,Medical,Medium,Female,High,Low,2,Research Scientist,Low,Divorced,High,High,7,Yes,Low,Excellent,Very High,3,Over 15 years,3,Better,Over 9 years,Over 7 years,1 year,Over 7 years
84,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Short,College,Medical,Low,Male,Very High,High,2,Manufacturing Director,High,Married,Average,High,1,No,High,Excellent,High,0,<= 6 years,2,Better,4 to 5 years,<= 2 years,1 year,3 years
85,Old,No,Travel_Rarely,Very High,Research & Development,Normal,Bachelor,Life Sciences,Very High,Male,Average,Low,3,Manufacturing Director,Low,Single,High,Very High,4,No,Low,Excellent,Low,0,Over 15 years,3,Good,6 to 9 years,4 to 7 years,None,<= 2 years
86,Young,No,Travel_Rarely,Very High,Sales,Short,Below College,Technical Degree,High,Male,Average,High,1,Sales Representative,High,Divorced,Low,Average,3,No,Average,Excellent,High,1,<= 6 years,3,Better,<= 3 years,<= 2 years,None,<= 2 years
87,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Long,Master,Life Sciences,Very High,Male,Very High,High,1,Laboratory Technician,High,Married,Low,High,3,No,Very High,Outstanding,Medium,2,7 to 10 years,4,Better,4 to 5 years,<= 2 years,None,3 years
88,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Short,Bachelor,Life Sciences,High,Male,Very High,Medium,2,Healthcare Representative,Medium,Married,Average,High,1,No,Very High,Excellent,Low,3,11 to 15 years,3,Better,Over 9 years,Over 7 years,Over 3 years,Over 7 years
89,Middle-Age,Yes,Travel_Rarely,Very High,Sales,Long,College,Medical,High,Male,Average,Medium,3,Sales Executive,Medium,Single,Very High,Average,1,No,High,Excellent,Very High,0,7 to 10 years,3,Better,6 to 9 years,Over 7 years,Over 3 years,4 to 7 years
90,Middle-Age,No,Travel_Frequently,Very High,Research & Development,Short,Master,Life Sciences,High,Male,High,Medium,4,Healthcare Representative,Medium,Married,Very High,Average,1,No,Very High,Outstanding,Very High,1,Over 15 years,3,Good,Over 9 years,3 years,Over 3 years,Over 7 years
91,Middle-Age,No,Travel_Rarely,Very High,Sales,Very Long,Master,Marketing,High,Male,High,High,2,Sales Executive,High,Single,High,Average,0,Yes,Very High,Outstanding,Very High,0,11 to 15 years,2,Bad,Over 9 years,4 to 7 years,1 year,<= 2 years
92,Middle-Age,No,Travel_Rarely,Very High,Sales,Normal,College,Medical,High,Female,Average,Medium,2,Sales Executive,Medium,Divorced,High,High,1,Yes,Low,Excellent,Medium,3,11 to 15 years,4,Good,Over 9 years,Over 7 years,2 to 3 years,4 to 7 years
93,Middle-Age,No,Travel_Frequently,Very High,Research & Development,Short,Bachelor,Medical,High,Male,Low,Medium,3,Healthcare Representative,Medium,Married,Very High,Low,2,Yes,Average,Excellent,High,1,Over 15 years,5,Good,Over 9 years,Over 7 years,Over 3 years,4 to 7 years
94,Middle-Age,No,Travel_Rarely,Very High,Sales,Normal,Master,Medical,Medium,Male,Very High,High,2,Sales Executive,High,Single,High,Very High,1,No,High,Excellent,Low,0,11 to 15 years,0,Better,Over 9 years,Over 7 years,Over 3 years,4 to 7 years
95,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Short,Master,Technical Degree,Low,Female,Average,High,3,Research Director,High,Married,Very High,Very High,9,No,Low,Excellent,Low,1,Over 15 years,5,Bad,4 to 5 years,3 years,None,3 years
96,Young,No,Travel_Rarely,Very High,Sales,Normal,College,Other,Low,Female,Low,High,2,Sales Executive,High,Married,High,High,0,No,Very High,Outstanding,Low,1,<= 6 years,2,Good,<= 3 years,<= 2 years,None,<= 2 years
97,Middle-Age,No,Non-Travel,Very High,Sales,Normal,Bachelor,Medical,Medium,Male,Low,High,2,Sales Executive,High,Married,Average,Average,1,No,High,Excellent,Medium,0,<= 6 years,3,Best,4 to 5 years,4 to 7 years,None,Over 7 years
98,Old,No,Travel_Rarely,Very High,Sales,Long,Master,Medical,Very High,Male,Low,High,4,Sales Executive,High,Single,Very High,Very High,0,No,Average,Excellent,High,0,Over 15 years,1,Good,Over 9 years,Over 7 years,1 year,Over 7 years
99,Middle-Age,No,Non-Travel,Very High,Research & Development,Very Long,Bachelor,Medical,Medium,Male,High,High,2,Laboratory Technician,High,Married,Low,Very High,4,No,Low,Excellent,High,1,Over 15 years,3,Best,<= 3 years,<= 2 years,1 year,<= 2 years
100,Middle-Age,Yes,Travel_Rarely,Very High,Human Resources,Normal,Master,Human Resources,High,Male,Average,High,1,Human Resources,High,Divorced,Low,Very High,4,Yes,Very High,Outstanding,Very High,0,7 to 10 years,3,Better,<= 3 years,<= 2 years,None,<= 2 years
101,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Short,Below College,Life Sciences,Very High,Male,High,High,1,Research Scientist,High,Single,Average,High,1,No,Average,Excellent,Very High,0,<= 6 years,2,Better,<= 3 years,<= 2 years,None,<= 2 years
